frequency,intensity
0,16.01472722322597
1,10.976206397731367
2,11.223576720524115
3,10.823948641642337
4,11.024228889207402
5,10.85135422226104
6,10.995330780990711
7,11.132315168922458
8,11.10715939299151
9,11.033132927741097
10,11.095694492323561
11,10.977361147869054
12,11.186732486610016
13,11.074723714484819
14,11.075124311078937
15,11.091536043431532
16,11.118442290254983
17,11.087324725981881
18,11.079647793221524
19,11.029592332227326
20,10.94728620437352
21,10.727571324634468
22,10.652015383434373
23,10.446605829747709
24,10.397245006844743
25,10.080778269825572
26,9.726960222595402
27,9.385313613377768
28,9.177989376769984
29,9.280424879503805
30,9.541209903685118
31,9.80919955109368
32,9.99029759893973
33,10.087017036897832
34,10.212430234296301
35,10.229480135348423
36,10.224241483026972
37,10.381279239060401
38,10.42149003020543
39,10.469870922056591
40,10.358241932823736
41,10.442224098112963
42,10.499760082334166
43,10.457061586860224
44,10.41714282896809
45,10.421083097978325
46,10.414139994159198
47,10.268721708413448
48,10.329617715423813
49,10.318021869384603
50,10.154770048622572
51,10.150986257938868
52,10.095177268393801
53,9.900412665526591
54,9.784123971152034
55,9.68882064531974
56,9.449607919322013
57,9.243200317698644
58,8.986060210703428
59,8.696788019304606
60,8.428307342603759
61,8.393650162869879
62,8.569278915831392
63,8.785170091424078
64,8.962400609884794
65,9.221313544640672
66,9.239115054006403
67,9.277166961843582
68,9.338170731842181
69,9.453118861764056
70,9.493767517493426
71,9.564009019446797
72,9.61125369854917
73,9.565038893221578
74,9.596416827618466
75,9.567961942143649
76,9.529019727327107
77,9.497423829135498
78,9.52129355580011
79,9.380663271849185
80,9.37203163526749
81,9.260242993172113
82,9.188489520747774
83,9.102166757481479
84,9.022716328601721
85,8.877534396062206
86,8.800949734241021
87,8.611096188319005
88,8.393045626463834
89,8.18397550035288
90,8.009556201626204
91,7.728108644091632
92,7.611226867916482
93,7.558851690100434
94,7.662138419394508
95,7.783515392548522
96,7.990510003089865
97,8.090112124998521
98,8.163002821859635
99,8.278944098445583
100,8.311324266690615
101,8.278109875616508
102,8.291639217570118
103,8.21202765536568
104,8.260663172709156
105,8.219330236587538
106,8.086473798640652
107,8.062050371294655
108,8.013808389810999
109,7.832045486829913
110,7.765409783175939
111,7.65635171245849
112,7.475463760949587
113,7.384596572120999
114,7.285166794486249
115,7.232085099462486
116,7.285344874087794
117,7.399969370548903
118,7.397858696563243
119,7.510557191023715
120,7.6251860242212395
121,7.653887108453944
122,7.694115847419461
123,7.736510581568377
124,7.741345995044463
125,7.783655175775471
126,7.815029201472579
127,7.752176953110726
128,7.694648537440976
129,7.666629331946199
130,7.642725000391974
131,7.577098351089442
132,7.473774471383113
133,7.400337863357722
134,7.327818687841358
135,7.23481553681824
136,7.184715539352114
137,7.13703096721632
138,7.152780010140238
139,7.2005833835324005
140,7.3233960910092755
141,7.352207321870854
142,7.504771669016746
143,7.582417761257596
144,7.613330034942825
145,7.7335244424724685
146,7.743711384067966
147,7.816895991389653
148,7.846634267075383
149,7.826039165408379
150,7.839201955110129
151,7.894182463409005
152,7.791160225047736
153,7.81236534885732
154,7.919795324395799
155,7.813700271337089
156,7.776137353113024
157,7.749380179527803
158,7.685259365943549
159,7.583221767459609
160,7.590717925040068
161,7.494642428841012
162,7.442850593283747
163,7.399317527662403
164,7.238738627741442
165,7.22489495908287
166,7.186714800186889
167,7.141819315196981
168,7.106234372673274
169,7.084728403196739
170,7.12819244541815
171,7.13156512929215
172,7.127271554820087
173,7.225061350555227
174,7.269536709737585
175,7.362079204911647
176,7.370667210128554
177,7.356416604847253
178,7.415490450303636
179,7.415556778213165
180,7.435471662764725
181,7.452485366484118
182,7.424517605036303
183,7.436891463798429
184,7.415837024492871
185,7.417550808104736
186,7.360478329953532
187,7.3278431167276175
188,7.355998481648617
189,7.275014201161737
190,7.2893135567045455
191,7.271919039891666
192,7.2213578532539575
193,7.199415162685813
194,7.127537043672562
195,7.168674564570722
196,7.161446743901022
197,7.120678266451125
198,7.107911143441918
199,7.111503311070353
200,7.08288841752969
201,7.087395967903734
202,7.0770741663903225
203,7.079432687508385
204,7.076140549886814
205,7.137922405364986
206,7.087702611680466
207,7.100305004083133
208,7.142692923443
209,7.154876479874012
210,7.125629287142559
211,7.093225752105504
212,7.152716777442179
213,7.111372256488716
214,7.083220292622612
215,7.132133322779734
216,7.126038714325613
217,7.070630590713898
218,7.079082853880288
219,7.105319750733611
220,7.088885295286689
221,7.072267359654116
222,7.1098009780035705
223,7.084587773808388
224,7.079063664669943
225,7.101096463234551
226,7.107921380403403
227,7.0546786381178785
228,7.062398681089626
229,7.067418324371825
230,7.077787170352967
231,7.095999351294878
232,7.078787638999887
233,7.086494861162303
234,7.062893574239043
235,7.084748009638578
236,7.09386156932595
237,7.067062002623887
238,7.058210027162223
239,7.096984094352995
240,7.063865189502234
241,7.081959617987664
242,7.088397280229959
243,7.085329028086597
244,7.075075136227081
245,7.049019640043664
246,7.085912984763998
247,7.069280808417322
248,7.075543903123019
249,7.070056763109491
250,7.104428460963212
251,7.089866225056856
252,7.043622274525147
253,7.067730624408737
254,7.089528983565413
255,7.104516312515748
256,7.040008693141388
257,7.066086862615764
258,7.075422425479149
259,7.083156683677081
260,7.0994245899904955
261,7.0791388094396
262,7.07176876606826
263,7.099286367815602
264,7.073281154768597
265,7.100260615916279
266,7.117349596778086
267,7.073964227603611
268,7.072320869051818
269,7.075425719565375
270,7.064918112068604
271,7.05967480993484
272,7.073186268930669
273,7.065249101421182
274,7.078570453026158
275,7.05685390654998
276,7.087687760348014
277,7.0664537852435005
278,7.080518512369588
279,7.035707008342446
280,7.055835346674333
281,7.051924976867181
282,7.0795725800927105
283,7.093643090146085
284,7.0854611974221715
285,7.062071373005083
286,7.103488963957205
287,7.082930059280167
288,7.072794180684588
289,7.045500906589725
290,7.074140654278227
291,7.089140371047876
292,7.04462385129495
293,7.070427484877818
294,7.100711521299428
295,7.0755178385297715
296,7.105309067667714
297,7.063674660739687
298,7.064323072703423
299,7.073084884075364
300,7.0758058757203495
301,7.045168429891442
302,7.074838523711278
303,7.077836461107069
304,7.084005832370131
305,7.074232872155757
306,7.090804019263347
307,7.052823739344252
308,7.083329399354996
309,7.052234919657803
310,7.0375921434373065
311,7.072309474897971
312,7.075945777965453
313,7.064308371851695
314,7.092595054672633
315,7.091275106408848
316,7.075471293460332
317,7.093286951985386
318,7.064845176968804
319,7.069478980558456
320,7.0579163353501215
321,7.077065072322459
322,7.052437571159985
323,7.073606705760116
324,7.06328865049219
325,7.0687926830054035
326,7.053208026141006
327,7.074667946387455
328,7.083631577232628
329,7.070438808556876
330,7.110325721312006
331,7.068651919090299
332,7.065094614487781
333,7.060750947146577
334,7.070321628559826
335,7.062833618512293
336,7.079341087015477
337,7.070217060954205
338,7.071610397781314
339,7.066837112623589
340,7.0918891285031265
341,7.068485423132606
342,7.092897925564456
343,7.095098049498584
344,7.081405059047567
345,7.049187569442623
346,7.059804738172961
347,7.0664949128067756
348,7.080326903938786
349,7.075682063361608
350,7.058601900401583
351,7.058359404658118
352,7.104132324371681
353,7.08745142172989
354,7.09600183989692
355,7.07235223281796
356,7.072830487046142
357,7.0728598692999665
358,7.062063259456987
359,7.0696487018704
360,7.085576093102824
361,7.041731275927752
362,7.088140588970928
363,7.10836179222093
364,7.07155089551712
365,7.050121348599574
366,7.08313548710618
367,7.088355485321015
368,7.091901961799792
369,7.081527358311575
370,7.077576996548498
371,7.059085312703036
372,7.080062696915461
373,7.076223104014589
374,7.061213683249287
375,7.061723525948294
376,7.066744645235291
377,7.067926885528065
378,7.049704831113358
379,7.092807843499316
380,7.060491654641464
381,7.074798283220371
382,7.0782814715078315
383,7.0653808316269
384,7.069526697744405
385,7.062129673337446
386,7.093219638670949
387,7.078855753340669
388,7.109982435442809
389,7.081694609128391
390,7.0884112406618796
391,7.0803105014066805
392,7.1087674698902035
393,7.068788230292398
394,7.077530261384055
395,7.088856806171771
396,7.09710951601167
397,7.05544147911734
398,7.041882920521044
399,7.085435478133605
400,7.078832313279142
401,7.0468399176625125
402,7.085425862666027
403,7.07364688664553
404,7.085626797485104
405,7.077207426048704
406,7.076660493016674
407,7.045048200582992
408,7.0813742141329215
409,7.06946953409709
410,7.069663385405504
411,7.0962648891229625
412,7.078294183959308
413,7.099212079425688
414,7.0870591419396884
415,7.056613367659725
416,7.062574298873602
417,7.071073286851189
418,7.077033305317707
419,7.092487638669532
420,7.067468595621053
421,7.074124773706123
422,7.079945970215763
423,7.061614632978279
424,7.096938007531123
425,7.08180456295925
426,7.098752359533585
427,7.0704435957355924
428,7.06582605043719
429,7.069260126184584
430,7.080953421063779
431,7.082927799422956
432,7.076542139419507
433,7.084835298324537
434,7.095412612617494
435,7.106024597242881
436,7.0835551690024126
437,7.068292805886862
438,7.07488284647913
439,7.052536702611003
440,7.099548082822467
441,7.057494680942857
442,7.089162886667403
443,7.085662087101483
444,7.094004785072832
445,7.051452653131561
446,7.1044923925145556
447,7.069476303627161
448,7.048679221132706
449,7.065660738569743
450,7.084929210993641
451,7.084119064587066
452,7.055678520882917
453,7.059238089507623
454,7.09033653125246
455,7.098283864196782
456,7.06425705675765
457,7.073907662446688
458,7.098888504612276
459,7.075355873772585
460,7.083318903472416
461,7.069485483924937
462,7.101403150028647
463,7.058051933667827
464,7.05827391898703
465,7.073033105266471
466,7.057562180200074
467,7.061371021516476
468,7.097757974791319
469,7.06554112836418
470,7.070721093879394
471,7.092550435959085
472,7.074281235816955
473,7.082772415313263
474,7.079744705106295
475,7.08949195871712
476,7.084330337282726
477,7.046313086442749
478,7.086509510805608
479,7.124667854043574
480,7.107112465052081
481,7.069369125621392
482,7.075959937230024
483,7.058600328539492
484,7.067250335931807
485,7.06890136855979
486,7.088050491198489
487,7.077461993664025
488,7.0564434325643015
489,7.0771957921180935
490,7.081470186799285
491,7.037703883339424
492,7.0527749746830395
493,7.051260860138964
