frequency,intensity
0,16.11977181323826
1,13.574008728529586
2,12.220114746551044
3,11.892367607408032
4,11.486308801935515
5,11.067379736686046
6,10.924717561409745
7,10.767992319041547
8,10.230321496086743
9,10.57415953432762
10,10.369988548312273
11,10.277017293404356
12,10.263087094868393
13,10.291860197629857
14,10.183361913784877
15,10.136725484458081
16,10.117478387783407
17,10.095735033689223
18,9.91026618370429
19,9.902588691297725
20,9.793621596666291
21,9.733350838720565
22,9.733910106515339
23,9.536137687278043
24,9.590026397796619
25,9.44625349527758
26,9.34245176371612
27,9.516031428445785
28,9.390298675360695
29,9.41522013563465
30,9.414792275157724
31,9.631490909569154
32,9.537194407913795
33,9.59060845760745
34,9.550406068480198
35,9.545758521713298
36,9.652046568077846
37,9.627525697647762
38,9.673307493183609
39,9.544312163523205
40,9.563362089172783
41,9.63277590593801
42,9.555415024873978
43,9.604116891617569
44,9.632083411119313
45,9.650144175944677
46,9.614095159096774
47,9.49663690313177
48,9.532007518880558
49,9.608077263657327
50,9.472290859501426
51,9.44284588008525
52,9.315727876834424
53,9.324938640050787
54,9.33326896510126
55,9.249452666888681
56,9.17088570153218
57,9.15834237041268
58,9.148327049694561
59,9.128121391247976
60,9.10514983799337
61,9.098557031461594
62,9.130935607794422
63,9.061156346733823
64,9.098364333483566
65,9.098753932052873
66,9.148785795565503
67,9.083050700134734
68,9.136752689679154
69,9.158693211126627
70,9.20343954916724
71,9.135391592669057
72,9.167053312102292
73,9.175200478334354
74,9.222542298890932
75,9.183867695126539
76,9.245373975556351
77,9.21159393233893
78,9.218543473261711
79,9.13065879028047
80,9.13942607653642
81,9.130804420816945
82,9.156057226867997
83,9.08613608730565
84,9.124343667472665
85,9.084727387314778
86,9.167618255054032
87,9.028699696424617
88,9.142756524891185
89,9.13542309284327
90,9.053726305212129
91,9.132158922380194
92,9.061594727856754
93,9.0698067009416
94,9.069073552121852
95,9.054342302980126
96,9.052562654529702
97,9.075605468265572
98,9.062932204420303
99,9.088955454842038
100,9.012574054617135
101,9.010741296350286
102,9.033762488249716
103,9.012506158402022
104,9.019582918197182
105,9.038892961927196
106,8.998415541813138
107,9.018436743084996
108,9.008460515896237
109,8.969010906786353
110,9.042628538031819
111,9.028839876540147
112,8.98905944204636
113,8.966532405214542
114,8.976967454246529
115,8.976717115792862
116,8.973685057312096
117,8.956546484775615
118,8.959968962796667
119,8.917161330844527
120,8.993433643330249
121,8.975643091693605
122,8.90964779330136
123,8.93463642947356
124,8.90456782923146
125,8.89225422312281
126,8.877597641778529
127,8.856435780828468
128,8.827401787201937
129,8.847480039896949
130,8.812379752815312
131,8.770323893038686
132,8.802730250830027
133,8.736061240560893
134,8.753842989418747
135,8.769314191219108
136,8.683914023946896
137,8.72874686065341
138,8.707847116274788
139,8.688465504899858
140,8.654728520427174
141,8.616231602759774
142,8.642160709722761
143,8.645546669856738
144,8.577309807724404
145,8.586120322863344
146,8.553265471178266
147,8.569678348833916
148,8.526299564359253
149,8.485852241885622
150,8.499858800234787
151,8.441681362389401
152,8.473573928029378
153,8.411435859049686
154,8.43208530269464
155,8.397761480737191
156,8.314649618724394
157,8.413228372300471
158,8.339992654120932
159,8.289439446891077
160,8.281433737743598
161,8.257176173728006
162,8.290983436637934
163,8.262164217739869
164,8.234328140018107
165,8.157236406512672
166,8.188019114015834
167,8.18744478992263
168,8.161563105825204
169,8.183606940507145
170,8.100263324876083
171,8.106863420125013
172,8.047958954043931
173,8.050151302054683
174,7.988495151253355
175,8.035664112327328
176,7.977754347604332
177,7.982870788308105
178,7.94235420911934
179,7.961816690110374
180,7.911768505003164
181,7.872898333874802
182,7.895094164639358
183,7.8925695057077645
184,7.852608630211807
185,7.827875209087723
186,7.810505245977647
187,7.839671984719996
188,7.8029050919725735
189,7.757890820580905
190,7.771297762143375
191,7.778776604158076
192,7.771593214243655
193,7.763478603836939
194,7.750956042334942
195,7.743797986630598
196,7.7269576109435185
197,7.689364745467657
198,7.695866412656103
199,7.691717744158114
200,7.694803901270299
201,7.680387110850396
202,7.661270719809925
203,7.649358520076734
204,7.660538579567802
205,7.65053667005451
206,7.681747273761966
207,7.640064201467458
208,7.636021592198551
209,7.591793833152637
210,7.611132797689134
211,7.605424362931791
212,7.634572350055835
213,7.56546114285026
214,7.6059759390195705
215,7.603783554323871
216,7.580166000512179
217,7.552467370377096
218,7.5692882343412355
219,7.556511603294883
220,7.561858865953552
221,7.516219504632952
222,7.518651795389401
223,7.524534287573932
224,7.581937641684049
225,7.52704557838783
226,7.5702473651954305
227,7.5678541447341185
228,7.492338447675981
229,7.49996537308253
230,7.50785159671701
231,7.510119523861148
232,7.518475577233956
233,7.536959062172741
234,7.4990189038749415
235,7.496342002115281
236,7.493675379962686
237,7.5085940118169745
238,7.478412371502216
239,7.446982455940127
240,7.4809739665316455
241,7.4910762798873405
242,7.451985098912256
243,7.500799800280368
244,7.469380383806736
245,7.464586114674125
246,7.4695237460055965
247,7.452729045187948
248,7.453788074707095
249,7.463864330405177
250,7.430752098373345
251,7.413594117123662
252,7.44066080286436
253,7.462397715925738
254,7.407802289357929
255,7.423788486592584
256,7.438301105057171
257,7.4263146525691335
258,7.433718661410819
259,7.425641046013713
260,7.418665928152206
261,7.4562697780873295
262,7.409349801159423
263,7.445508785979911
264,7.437462916189723
265,7.418836111901998
266,7.423871929800871
267,7.397431957393163
268,7.383593645648474
269,7.406166957804942
270,7.391382122565255
271,7.39837830501196
272,7.4153362807724825
273,7.383836448015433
274,7.425290502258042
275,7.38058205056677
276,7.410716966124103
277,7.377686758372889
278,7.373760466580204
279,7.383572498665399
280,7.373621530623164
281,7.367233974882168
282,7.3988399792803206
283,7.379438278313019
284,7.370925227001933
285,7.400147908218555
286,7.386845267387202
287,7.373558730503055
288,7.35049129082114
289,7.358791529393777
290,7.368117222434719
291,7.352854265196684
292,7.373542054579969
293,7.36577965371928
294,7.376016674875412
295,7.369417931240596
296,7.379114494659097
297,7.3344011621502645
298,7.350397783145192
299,7.362184073643506
300,7.326200320376852
301,7.3421763019333275
302,7.348610004299133
303,7.358513701513944
304,7.367994840201161
305,7.361468956249239
306,7.315963778788722
307,7.3172567589501485
308,7.330057204169427
309,7.320783866587482
310,7.338137841475697
311,7.309399574869273
312,7.317805431229879
313,7.320395709860527
314,7.3185135606288565
315,7.347425150413171
316,7.322775747314362
317,7.344697629977175
318,7.30702070523665
319,7.319442873996788
320,7.359332378294623
321,7.338263362332306
322,7.324433309960146
323,7.32781995850866
324,7.302272717506995
325,7.3324838398785195
326,7.304076151370454
327,7.301810651657822
328,7.320717882131128
329,7.3205510234341125
330,7.312783654545416
331,7.309874171850157
332,7.300802820618226
333,7.312460793305287
334,7.310497924362199
335,7.308244601555173
336,7.309942528751731
337,7.31995684010928
338,7.331898105983548
339,7.328706253606586
340,7.3352383217781
341,7.320659556491211
342,7.293528395382799
343,7.330301666334447
344,7.331146108655181
345,7.3218636956758045
346,7.304123128362827
347,7.307946080417908
348,7.305074855651622
349,7.289190332452164
350,7.276060209262011
351,7.339601296711822
352,7.344145459993852
353,7.305042812718904
354,7.317084941277258
355,7.293242825783168
356,7.2974378518185485
357,7.294926489923764
358,7.318182396021592
359,7.284998417694714
360,7.300703632073887
361,7.312388312808598
362,7.307061199166493
363,7.301507347554819
364,7.308145727170536
365,7.306601011298926
366,7.310344562765936
367,7.2926996696697985
368,7.3054238011990895
369,7.307773301195183
370,7.299179033211062
371,7.296423649211645
372,7.2651644748520825
373,7.302238061381889
374,7.284562169626515
375,7.277114628144286
376,7.27813240110909
377,7.276043792448531
378,7.295697697122375
379,7.2803746172974035
380,7.261908922734931
381,7.278456552257823
382,7.296120286122133
383,7.308190973742804
384,7.301935536241274
385,7.269781137501692
386,7.287643694969524
387,7.293957758553834
388,7.292498553974931
389,7.280099499671889
390,7.290801730955189
391,7.3156190154225005
392,7.314538583007991
393,7.285369133512815
394,7.296973783514702
395,7.317687454032562
396,7.283920119938744
397,7.288418988967473
398,7.302058819284118
399,7.284257750560315
400,7.290649600215458
401,7.26873817749632
402,7.298997277704794
403,7.2930118147972385
404,7.314271149752013
405,7.294204318561278
406,7.2810195031453855
407,7.287421828222631
408,7.280865999103617
409,7.273826474345954
410,7.29218089843472
411,7.316672679320266
412,7.247095180827456
413,7.275331262704862
414,7.266266375510063
415,7.286417330440828
416,7.310653603949846
417,7.266497280306806
418,7.2948539395628424
419,7.262712927788136
420,7.31336523041754
421,7.289473600693271
422,7.278851717916322
423,7.3027064584129
424,7.256355145399441
425,7.283440967366376
426,7.297214800663433
427,7.278464088238193
428,7.276747038725221
429,7.272398858853109
430,7.254710317379815
431,7.2958624604852425
432,7.283859819099792
433,7.2877100551650225
434,7.250032344535388
435,7.274866298037496
436,7.305580222681472
437,7.310802982961433
438,7.300852047767916
439,7.298473620087235
440,7.276578621062659
441,7.2742295614845345
442,7.282659385073361
443,7.290394524513482
444,7.295350910878359
445,7.255535488616299
446,7.254248768221322
447,7.303598876763219
448,7.258858350349294
449,7.297596136569476
450,7.272741296291549
451,7.299995580443337
452,7.271503938889664
453,7.288474718588117
454,7.277376626343989
455,7.253299107999227
456,7.29331616672783
457,7.255182313979781
458,7.269978830966268
459,7.261145734037598
460,7.285911196627855
461,7.265841222842142
462,7.280213698683389
463,7.261063519302141
464,7.259595065611217
465,7.281824897436806
466,7.265712622968083
467,7.256375161037649
468,7.289217339685112
469,7.251186571820125
470,7.228839487745633
471,7.264800201588816
472,7.250720601228375
473,7.241583382647489
474,7.261105040053176
475,7.22781196795484
476,7.239616452789951
477,7.262441711023094
478,7.2508401736042885
479,7.289854982159387
480,7.2682200284581056
481,7.289780900981425
482,7.267875276697885
483,7.266576408781745
484,7.266687015706508
485,7.275492939003105
486,7.2941036876035055
487,7.248632579746392
488,7.278358397350748
489,7.285774189861238
490,7.2857246354956295
491,7.269815280435804
492,7.256453288275985
493,7.287764831978457
494,7.251582238080298
495,7.26498592690253
496,7.278778939992599
497,7.280940662370981
498,7.254762996542232
499,7.263274230559643
500,7.270605385908981
501,7.275602522911746
502,7.248204402907017
503,7.282081413901344
504,7.2730061294521215
505,7.2601797673385375
506,7.27057175402242
507,7.264941337936114
508,7.256289790658504
509,7.2735561107784665
510,7.243546777845696
511,7.273894767496202
512,7.285970348819494
513,7.243038742981612
514,7.285506842175606
515,7.28121190709684
516,7.283940519947344
517,7.271590760546279
518,7.244181015183783
519,7.299676772210329
520,7.266628450935644
