frequency,intensity
0,15.648963150503688
1,12.523833376383886
2,11.907144850241467
3,11.530825947287244
4,11.29082447657366
5,11.459455687207567
6,11.147889819565272
7,11.434913818926312
8,11.27789126934242
9,11.421043969170302
10,11.236317715163677
11,11.255654751825965
12,11.225466666219443
13,11.183446814918291
14,11.040593925781398
15,10.838922512566983
16,10.787783223758273
17,10.805909442976578
18,10.760197540192735
19,10.654850433334765
20,10.565005783885427
21,10.534119269736529
22,10.393788358308628
23,10.267230093897139
24,10.295125514254705
25,10.145366009228287
26,9.856410167549184
27,9.7359298940741
28,9.646447713477837
29,9.562492928347277
30,9.613964522048
31,9.678794693648557
32,9.677358950551586
33,9.432688634669544
34,9.681409568510439
35,9.77753091307228
36,9.681045493751427
37,9.757079303384963
38,9.720419578304432
39,9.776511819734845
40,9.777782379704385
41,9.793487927385318
42,9.779100875271912
43,9.805814420774116
44,9.701373385584743
45,9.713065636661126
46,9.714367087071533
47,9.69322683360046
48,9.60904689145306
49,9.595668794776147
50,9.619144094965913
51,9.539084115511994
52,9.425077131535229
53,9.413373509463787
54,9.245127682569223
55,9.26448141381465
56,9.235894239674991
57,9.170169053938084
58,9.0549397557899
59,8.956162850679737
60,9.066453988886046
61,8.9921750733046
62,8.926675144001019
63,8.99651630017968
64,9.016821749511921
65,9.051760295398536
66,9.024763332710911
67,8.966800158571829
68,9.00958539035607
69,9.047819443194163
70,9.027684999693982
71,9.044953499292316
72,9.027771639706707
73,9.012164268749393
74,9.0521298378462
75,9.008440911375377
76,8.99825112847739
77,9.000180406750099
78,8.88363069329309
79,8.917927910201568
80,8.941964139608253
81,8.983971434192782
82,8.876527028838769
83,8.871109355306173
84,8.8584730849646
85,8.808018520055759
86,8.82573625108955
87,8.835733517305101
88,8.8206838966291
89,8.831476157774208
90,8.796569148783728
91,8.801014135050359
92,8.733628580340717
93,8.748695498751072
94,8.696997297570254
95,8.744520142351861
96,8.73803075967714
97,8.722492068612992
98,8.675090963006761
99,8.66362639295549
100,8.635537436177334
101,8.704302956441982
102,8.663379094473328
103,8.6068535975129
104,8.671040371301874
105,8.663789405362552
106,8.644805079493839
107,8.630376198555288
108,8.606139589872654
109,8.639149521276366
110,8.653133891779081
111,8.623019657001361
112,8.637504046755751
113,8.63416536273113
114,8.586201166350772
115,8.623289985536507
116,8.552711112240207
117,8.599016320889735
118,8.55758884936482
119,8.590763166700784
120,8.53708380929551
121,8.553106803605933
122,8.541651595737866
123,8.541279420232433
124,8.499970376257941
125,8.501356500797774
126,8.530236871329501
127,8.478135630917755
128,8.478595443149505
129,8.525570814410017
130,8.481842022879045
131,8.504397814302305
132,8.511624775050638
133,8.473687992291504
134,8.459184383350511
135,8.485404100515717
136,8.44510463443031
137,8.484226563369404
138,8.468810440639542
139,8.426230570203561
140,8.462881192684431
141,8.415372152720087
142,8.378620361089641
143,8.393569974620156
144,8.398832837804283
145,8.42941116850937
146,8.32802041730941
147,8.369509013313479
148,8.388512252389612
149,8.357513478122018
150,8.329570560538208
151,8.330587056630707
152,8.352933548048123
153,8.34035473369876
154,8.310718479400828
155,8.299423891190312
156,8.3017471827632
157,8.275786941793918
158,8.263915168918993
159,8.229390833565763
160,8.292396043773657
161,8.22669753718922
162,8.231209234256019
163,8.207267243706987
164,8.165898544123925
165,8.202147956523246
166,8.173219448589867
167,8.199067035647852
168,8.147466633751373
169,8.11228196886639
170,8.083238294643646
171,8.113124106837617
172,8.073670894141419
173,8.092947091983165
174,8.069471542355425
175,8.080852609294062
176,8.09962882481106
177,8.057095723081291
178,8.032687797649007
179,8.07281927179661
180,8.036662056133483
181,8.007539681902147
182,7.996936203607218
183,8.061747746459467
184,8.003567578346486
185,7.967465937135818
186,8.001614421699715
187,7.93046982620975
188,7.923922544552178
189,7.9328980499968385
190,7.933162043929251
191,7.918236240957002
192,7.937470875848146
193,7.905600962213548
194,7.881970771367418
195,7.8467377442883475
196,7.854923996519049
197,7.827091605182524
198,7.866736937886386
199,7.802625217870094
200,7.815040092056812
201,7.846465149166914
202,7.819494291276023
203,7.802553860819999
204,7.772580750081084
205,7.801851183971168
206,7.752670819832571
207,7.743136531624694
208,7.7193714737735
209,7.7138553929493305
210,7.72745301614945
211,7.748104621024286
212,7.715555351368821
213,7.691506295553515
214,7.683339907329391
215,7.679511847663831
216,7.693263982660064
217,7.687052013792351
218,7.686224498182945
219,7.664124917810228
220,7.658228933028455
221,7.6551945058680895
222,7.65964904083056
223,7.618693905061206
224,7.644126412069067
225,7.636595660113689
226,7.635033975339769
227,7.604869778130346
228,7.61467411111594
229,7.633254034307946
230,7.594941771999028
231,7.58584107913256
232,7.547692070336504
233,7.613414312206099
234,7.560762234609707
235,7.575470320385463
236,7.584368826870515
237,7.535409400514058
238,7.629873911556221
239,7.54123432152127
240,7.522115695429345
241,7.573319358043963
242,7.570390130042492
243,7.589459134766471
244,7.556367202458497
245,7.554218126286499
246,7.524334188026669
247,7.548936756155333
248,7.5279248152622165
249,7.504345263527674
250,7.520541561574499
251,7.521822682918372
252,7.504727926976167
253,7.494333564038258
254,7.473884665955707
255,7.514370383324236
256,7.480907598922454
257,7.52823404856552
258,7.435428549870565
259,7.489013221599767
260,7.482506564839779
261,7.450565754475809
262,7.482849858606749
263,7.468515610191404
264,7.432348984905303
265,7.457285715668615
266,7.453365107325875
267,7.4607993139567
268,7.433435039153157
269,7.458568815063959
270,7.433670484713093
271,7.422791145053351
272,7.4430958886265275
273,7.46617524768735
274,7.440338303289019
275,7.439167585781412
276,7.432200251118221
277,7.412532551463292
278,7.43557711193946
279,7.396065260675507
280,7.423180801805317
281,7.42999158532237
282,7.439643220354628
283,7.424794547633299
284,7.408875499824077
285,7.419933467527002
286,7.427456510757651
287,7.418009708289267
288,7.403753152431145
289,7.423934121891056
290,7.408761720392622
291,7.38760360815252
292,7.391416564612456
293,7.399873926972056
294,7.370444219322278
295,7.378845547434969
296,7.397005420179392
297,7.360653976965332
298,7.358893585593583
299,7.355217073333112
300,7.3720229930187156
301,7.39448075823758
302,7.384900800831874
303,7.420657238308308
304,7.3796020176749195
305,7.37561214612031
306,7.386480736255313
307,7.412774931405788
308,7.379705133856466
309,7.385663461433268
310,7.372872399899421
311,7.379719840348531
312,7.357259941835596
313,7.37585009130542
314,7.357656706325902
315,7.397828351599371
316,7.366834020610071
317,7.373467771347977
318,7.351430178148643
319,7.357950717027214
320,7.3566891081690855
321,7.374267839968612
322,7.360493388013127
323,7.36132213569923
324,7.377984645534989
325,7.3775864947924905
326,7.336916790289531
327,7.339127075362723
328,7.361721309911445
329,7.36969989973896
330,7.346177442963595
331,7.367403331370586
332,7.389737518437054
333,7.358098120378094
334,7.331197305110703
335,7.349354822079265
336,7.3260971389339575
337,7.338373150611783
338,7.323333595213901
339,7.334982659161791
