frequency,intensity
0,15.912819687120367
1,12.048344212171227
2,11.113337022785235
3,11.073656024739524
4,10.916590054263002
5,10.82501342818506
6,10.829717958562213
7,10.529536229081076
8,10.522538171443836
9,10.503519220479578
10,10.548351515023443
11,10.449371816482488
12,10.428250518001144
13,10.384091273552489
14,10.311968531435081
15,10.214344236594798
16,10.172765444046302
17,10.10315372576262
18,10.070170504934932
19,9.98881992815094
20,9.951816462774492
21,9.91510765567049
22,9.773984472632291
23,9.70040464034339
24,9.674754429823139
25,9.656327373944013
26,9.601951116682491
27,9.677907432416676
28,9.627674754106497
29,9.690419808861382
30,9.704608860246676
31,9.702402324506973
32,9.725362674558857
33,9.760307623165636
34,9.735028955130709
35,9.752312928085484
36,9.7548573312741
37,9.780322057027247
38,9.768975917285239
39,9.758151042904368
40,9.772296467906113
41,9.715876322676312
42,9.71601119232407
43,9.710788354309319
44,9.668792329882319
45,9.63253783052393
46,9.54900920938798
47,9.582285070254208
48,9.565770957254742
49,9.509261453705301
50,9.477740492467992
51,9.464835426654663
52,9.391764121167082
53,9.378102131331042
54,9.323465815829977
55,9.381687606734983
56,9.364087643790816
57,9.312696762451228
58,9.347308464203724
59,9.331986405232971
60,9.369677835954661
61,9.381646962284808
62,9.338706818969829
63,9.37123442722869
64,9.383278509327187
65,9.36352736234287
66,9.37314793421726
67,9.38048055293141
68,9.391084841761836
69,9.338050629842703
70,9.379411366941829
71,9.371157169857545
72,9.380713855530615
73,9.369694797605375
74,9.359659140188153
75,9.356539335343147
76,9.36702824498511
77,9.366897622052303
78,9.373874227599577
79,9.377146837769725
80,9.352804559186994
81,9.346603096302339
82,9.332399548113774
83,9.354203316446648
84,9.340860967394184
85,9.338845049624123
86,9.344639372490004
87,9.315141398056383
88,9.317184061189431
89,9.353830606088101
90,9.342935166992138
91,9.304262860155006
92,9.300022241753519
93,9.329856631156943
94,9.322120432226573
95,9.304497927143753
96,9.317480789310498
97,9.280734988641091
98,9.273345231839704
99,9.281752155381644
100,9.258779590163005
101,9.300750389930627
102,9.266294053046106
103,9.26507086005106
104,9.269628299250561
105,9.275424330055676
106,9.26452900316824
107,9.241696493683474
108,9.234933792243586
109,9.205027280016221
110,9.200649813610017
111,9.19614470642423
112,9.19457888134097
113,9.170707433764985
114,9.17155443287086
115,9.143192933630969
116,9.159904947288645
117,9.13822864067519
118,9.136717159438268
119,9.122319367837703
120,9.100940750283641
121,9.083206913346505
122,9.059422360009531
123,9.021071236842722
124,9.0480220601026
125,9.033125085896184
126,9.002936654237775
127,8.985440071336688
128,8.979949523622535
129,8.961872218408397
130,8.948227874984985
131,8.941963580433727
132,8.944302697837273
133,8.906840356011404
134,8.882529594764842
135,8.86875958108994
136,8.830827983947184
137,8.817946280457637
138,8.795054963083228
139,8.808328301068567
140,8.774460980531762
141,8.756525021679122
142,8.743059934037069
143,8.693198534168179
144,8.701698734316297
145,8.670253136642845
146,8.677063266660564
147,8.649187715012111
148,8.63881609855471
149,8.591827517815286
150,8.580952852882495
151,8.55707792975148
152,8.538805260398851
153,8.526904822164747
154,8.503263657606023
155,8.481238337178159
156,8.467037873555544
157,8.455173976466705
158,8.445633008624464
159,8.423937530644931
160,8.398119746185523
161,8.371491312737906
162,8.36360781387479
163,8.344499564224666
164,8.320886253313201
165,8.321212969572573
166,8.289813801495843
167,8.276961505024062
168,8.263874294771082
169,8.255680428007373
170,8.241552563527133
171,8.209294609096052
172,8.200150262688101
173,8.20295531901843
174,8.171355978042289
175,8.193201349707683
176,8.155976023415864
177,8.130927830936526
178,8.133405899963789
179,8.110362291777538
180,8.104601689615269
181,8.069370110187872
182,8.085894015878136
183,8.070177196095262
184,8.059897077008245
185,8.038569301027703
186,8.022526590132248
187,8.040864095569775
188,7.990572974491521
189,8.008139914223104
190,8.001794474690032
191,7.978479163683931
192,7.97268326496893
193,7.944168806125427
194,7.963709657247709
195,7.944497614878091
196,7.924476143378956
197,7.928332304331437
198,7.917580799259571
199,7.923275586453903
200,7.909269072989441
201,7.886855147729863
202,7.88121444668497
203,7.869700760568287
204,7.860514254072345
205,7.850655879252587
206,7.854752010464038
207,7.846522085418142
208,7.82443016214455
209,7.814841750166176
210,7.824409654224195
211,7.800061598525174
212,7.83226096090362
213,7.8136250365972035
214,7.823257488102406
215,7.8011552131974895
216,7.787444336062206
217,7.799630010479197
218,7.760754502809971
219,7.780663697767599
220,7.757000844186605
221,7.7713951543946775
222,7.762523579803988
223,7.743934557696969
224,7.740976558949169
225,7.743572682355996
226,7.744416448659406
227,7.719129718866457
228,7.715526415545638
229,7.715152340971642
230,7.707483042380128
231,7.714018162866054
232,7.703915762634148
233,7.687634100623619
234,7.700610275868087
235,7.678757771797398
236,7.681040494167789
237,7.6794157230654365
238,7.687481852255575
239,7.670157651603441
240,7.677564782511119
241,7.665738411844124
242,7.6560522992051006
243,7.665851680502129
244,7.662822981909781
245,7.652199794400107
246,7.644437876799185
247,7.625429135438246
248,7.653053177033437
249,7.643103391683563
250,7.652927759198678
251,7.616312346793146
252,7.6278429462469575
253,7.630480954997185
254,7.624285706153901
255,7.606646569858837
256,7.614015508601616
257,7.613743887461453
258,7.600921109964061
259,7.604238531637911
260,7.593073536818366
261,7.595482974270881
262,7.599567797977949
263,7.6032632952296755
264,7.594827005133675
265,7.583040951130387
266,7.586905068572017
267,7.580341008200603
268,7.5850896667416094
269,7.575564961311109
270,7.575167430379099
271,7.56467421717535
272,7.576097287114726
273,7.570060823200272
274,7.571989746527036
275,7.5629398340157845
276,7.562766362318908
277,7.554731923111346
278,7.571788995742288
279,7.539750458313182
280,7.543031019706538
281,7.565285132891132
282,7.557438850477082
283,7.5336941887847955
284,7.542360035434664
285,7.53075144853828
286,7.549800093559002
287,7.54631052252076
288,7.536382485971569
289,7.528896312092227
290,7.5235040383170455
291,7.537624917707822
292,7.534784568924013
293,7.527037217511771
294,7.5253871246420605
295,7.5155051113899045
296,7.526034088446197
297,7.508429194530214
298,7.52943794110453
299,7.509432507902124
300,7.515113944413633
301,7.505583750606149
302,7.525136377237507
303,7.508664612572259
304,7.519453260901815
305,7.4965363367718805
306,7.503456993386095
307,7.506746013571174
308,7.5206930328860535
309,7.493078836910556
310,7.49930781813884
311,7.497375820572266
312,7.504612504432137
313,7.487661943470924
314,7.485670542776039
315,7.486630348965593
316,7.4875301394708815
317,7.488229986542633
318,7.494535642744279
319,7.48853046768522
320,7.489203377601818
321,7.481956010393027
322,7.488957379317713
323,7.481793051307902
324,7.485836991424753
325,7.481037338525394
326,7.4637483288042334
327,7.480220790020643
328,7.4662581557560035
329,7.48218549699457
330,7.468831936362046
331,7.4636533631120585
332,7.459100604523606
333,7.468896634768282
334,7.454538706112777
335,7.472736011509278
336,7.478403283841158
337,7.460871541623206
338,7.465108650545581
339,7.464811639033796
340,7.471445127317056
341,7.4738755678619
342,7.443659343490258
343,7.46504160291461
344,7.453283632870262
345,7.4633208506392865
346,7.46102465094548
347,7.471966817814845
348,7.471561701637649
349,7.4632939454999825
350,7.460816857875659
351,7.45552699363261
352,7.451062264971893
353,7.459721499947318
354,7.4525336369832145
355,7.451448174025958
356,7.44290974143483
357,7.4433953591528805
358,7.456122411180063
359,7.450170358066049
360,7.441287181710598
361,7.459263085697607
362,7.444627221797129
363,7.45609234805155
364,7.44728101055293
365,7.450565999221179
366,7.4414926802294685
367,7.44294696734876
368,7.445835404700335
369,7.439622784377212
370,7.4495320072172095
371,7.4411899177157705
372,7.44583175272048
373,7.448411298440256
374,7.4462521345729815
375,7.440206754297859
376,7.434182495616104
377,7.44739667775284
378,7.436914371711433
379,7.4402897743518865
380,7.445768221730131
381,7.435882669568348
382,7.453538010209547
383,7.4349128029787455
384,7.438015311141387
385,7.420262340059724
386,7.432084846409611
387,7.446559103670803
388,7.441178818022125
389,7.427742751404935
390,7.444092116008365
391,7.444778472356148
392,7.434970666216965
393,7.444288842773238
394,7.443873282448804
395,7.441476264239597
396,7.440639024776613
397,7.445174097218777
398,7.443985522458166
399,7.432734843629875
400,7.436282001301889
401,7.424416001297331
402,7.438579658427453
403,7.4256041303755325
404,7.436720500359565
405,7.421817104086645
406,7.432572212086875
407,7.431841983490995
408,7.433487415277161
409,7.424905590021045
410,7.438710742923628
411,7.421508299594024
412,7.41606236909716
413,7.430372433240618
414,7.433887651412505
415,7.423418536503514
416,7.436969571417526
417,7.429923101026543
418,7.442467647109967
419,7.429466246600424
420,7.4163714835342915
421,7.426549944539067
422,7.425598459252487
423,7.423073176856917
424,7.4308547748149705
425,7.441271354225016
426,7.424504128190664
427,7.455261638460387
428,7.427087577080246
429,7.433725811144377
430,7.4350411130575536
431,7.423980616675726
432,7.422900966555879
433,7.425781310996186
434,7.4278003364668805
435,7.442281745274352
436,7.441426443673556
437,7.429244862177207
438,7.440341352941621
439,7.421043382707933
440,7.428884969479613
441,7.425931450276726
442,7.426868887333528
443,7.427470112191733
444,7.4038496948998755
445,7.423058002505722
446,7.426710997929989
447,7.4181929793849
448,7.412945293877671
449,7.429080496257098
450,7.424640133253772
451,7.436836819645076
452,7.426547229263112
453,7.425399831486831
454,7.4277934316249175
455,7.416689039546377
456,7.426576187730606
457,7.4282107282345295
458,7.430737395992284
459,7.428401028172834
460,7.420926244928303
461,7.417761036127568
462,7.4242698792919555
463,7.4261881185088585
464,7.424231750769738
465,7.40520116988539
466,7.423342096373645
467,7.419631285542154
468,7.435568174541608
469,7.421650605204496
470,7.431501239465382
471,7.412124782772958
472,7.415108223108632
473,7.420640450764634
474,7.401530812018606
475,7.419982569539981
476,7.4131812414245335
477,7.411351891411096
478,7.409942547659564
479,7.416664468022498
480,7.397100179867181
481,7.4080943399859205
482,7.4315371511624
483,7.422722234421963
484,7.398364667485308
485,7.411803250577965
486,7.426211397574432
487,7.4297985019955775
488,7.410727006671432
489,7.433923261929205
490,7.417054508071979
491,7.415396321606627
492,7.420397757999528
493,7.4198194510387125
494,7.4134547919750515
495,7.404675246381158
496,7.424576258886856
497,7.413741174291408
498,7.409918571843422
499,7.436415187168173
500,7.409681001548566
501,7.399396471659732
502,7.407700893472594
503,7.415139834491287
504,7.4041071471970366
505,7.421173165837645
506,7.424117497037173
507,7.410102215839961
508,7.399160490372758
509,7.416924365287054
510,7.408065602420966
511,7.421418556619507
512,7.415816175488513
513,7.427427976334265
514,7.411896880529293
515,7.420508799543796
516,7.420938812497167
517,7.430548537468203
518,7.430620732603427
519,7.41485364851039
520,7.422613256850798
521,7.41386484191077
522,7.425424601224624
523,7.404340659884904
524,7.41128895340542
525,7.424390874137709
526,7.415503951778542
527,7.417755908552371
528,7.426586052818882
529,7.426557622577901
530,7.412685700982377
531,7.436820343758304
532,7.413045567534146
533,7.427539661876905
534,7.417757948426503
535,7.393636818796831
536,7.416253244178925
537,7.409818004845131
538,7.424540899468978
539,7.398455137062031
540,7.420298828207457
541,7.416635728985753
542,7.413512356574792
543,7.392312151706326
544,7.415495139548727
545,7.41392715981736
546,7.40723351223888
547,7.404088785698979
548,7.425327429699763
549,7.421570855772752
550,7.409461241702871
551,7.406304956217284
552,7.43879405323715
553,7.421851219150265
554,7.397886593662038
555,7.427407000686502
556,7.421857553576247
557,7.408285082173177
558,7.392939557710781
559,7.399330787511644
560,7.415505840799153
561,7.428999028132831
562,7.419577842119298
563,7.4003390830684195
564,7.414658405354484
565,7.409847481161155
566,7.4070937300766415
567,7.424045905073784
568,7.421578962107401
569,7.38945572519422
570,7.399241628858521
571,7.417706321310876
572,7.3902260898838446
573,7.39710225273885
574,7.418634124793341
575,7.414441292949249
576,7.401767745313313
577,7.39360194172437
578,7.416141519573628
579,7.402408688228485
580,7.418719785570914
581,7.414493334783444
582,7.414203140230763
583,7.401410475994078
584,7.435606849230116
585,7.397078527514995
586,7.435459925339569
587,7.415969123614795
588,7.411894706862189
589,7.427698695914235
590,7.396775639546665
591,7.400169478821354
592,7.40864855548187
